"country","year","poverty_rate"
"Africa","2000",52.4
"Africa","2001",51.8
"Africa","2002",51.5
"Africa","2003",50.8
"Africa","2004",48.5
"Africa","2005",47.3
"Africa","2006",46
"Africa","2007",45.1
"Africa","2008",44.1
"Africa","2009",43.4
"Africa","2010",42
"Africa","2011",41.1
"Africa","2012",40.2
"Africa","2013",39.4
"Africa","2014",38.7
"Africa","2015",38.8
"Africa","2016",38.8
"Africa","2017",38.6
"Africa","2018",38.4
"Africa","2019",38.2
"Africa","2021",39.5
"Africa","2022",39
"Albania","2002",4.2
"Albania","2005",2.7
"Albania","2008",0.8
"Albania","2012",1.8
"Albania","2014",3.7
"Albania","2015",1.1
"Albania","2016",1.1
"Albania","2017",1.4
"Albania","2018",1
"Albania","2019",0.3
"Albania","2020",0.3
"Algeria","2011",0
"Americas","2000",11.7
"Americas","2001",11.7
"Americas","2002",11.2
"Americas","2003",10.9
"Americas","2004",10.1
"Americas","2005",9.4
"Americas","2006",8
"Americas","2007",7.3
"Americas","2008",6.7
"Americas","2009",6.4
"Americas","2010",5.8
"Americas","2011",5.3
"Americas","2012",5.1
"Americas","2013",4.6
"Americas","2014",4.5
"Americas","2015",4.2
"Americas","2016",4.3
"Americas","2017",4.3
"Americas","2018",4.1
"Americas","2019",4.2
"Americas","2020",3.8
"Americas","2021",4.2
"Americas","2022",3.6
"Americas","2023",3.3
"Angola","2000",27
"Angola","2008",22.1
"Angola","2018",39.3
"Argentina","2000",7.3
"Argentina","2001",10.7
"Argentina","2002",17.1
"Argentina","2003",8.2
"Argentina","2004",6
"Argentina","2005",4.4
"Argentina","2006",3.5
"Argentina","2007",2.8
"Argentina","2008",2.6
"Argentina","2009",2.4
"Argentina","2010",1.5
"Argentina","2011",1.2
"Argentina","2012",1.3
"Argentina","2013",1.1
"Argentina","2014",1.1
"Argentina","2016",1.3
"Argentina","2017",1.1
"Argentina","2018",1.6
"Argentina","2019",1.7
"Argentina","2020",2.2
"Argentina","2021",1.4
"Argentina","2022",1.3
"Argentina","2023",1.2
"Armenia","2001",24.1
"Armenia","2002",19.8
"Armenia","2003",14.8
"Armenia","2004",10.3
"Armenia","2005",6.1
"Armenia","2006",4.5
"Armenia","2007",3.7
"Armenia","2008",2
"Armenia","2009",3.1
"Armenia","2010",2.9
"Armenia","2011",3.1
"Armenia","2012",2.5
"Armenia","2013",2.9
"Armenia","2014",3.4
"Armenia","2015",2.9
"Armenia","2016",2.5
"Armenia","2017",2.4
"Armenia","2018",2.9
"Armenia","2019",2.4
"Armenia","2020",1.5
"Armenia","2021",2.1
"Armenia","2022",1.9
"Armenia","2023",1.9
"Asia","2000",42.8
"Asia","2001",41
"Asia","2002",38.7
"Asia","2003",35.2
"Asia","2004",31.4
"Asia","2005",27.9
"Asia","2006",25.8
"Asia","2007",23.7
"Asia","2008",21.9
"Asia","2009",20.2
"Asia","2010",17.9
"Asia","2011",15.1
"Asia","2012",13.6
"Asia","2013",8.8
"Asia","2014",7.7
"Asia","2015",6.6
"Asia","2016",5.9
"Asia","2017",5.2
"Asia","2018",4.5
"Asia","2019",4.1
"Asia","2020",4.4
"Asia","2021",4.2
"Asia","2022",4
"Asia","2023",4
"Australia","2001",1
"Australia","2003",1
"Australia","2004",0.7
"Australia","2008",0.7
"Australia","2010",0.3
"Australia","2014",0.5
"Australia","2016",0.5
"Australia","2018",0.5
"Australia and New Zealand","2000",1
"Australia and New Zealand","2001",1
"Australia and New Zealand","2002",1
"Australia and New Zealand","2003",1
"Australia and New Zealand","2004",0.7
"Australia and New Zealand","2005",0.7
"Australia and New Zealand","2006",0.7
"Australia and New Zealand","2007",0.7
"Australia and New Zealand","2008",0.7
"Australia and New Zealand","2009",0.5
"Australia and New Zealand","2010",0.3
"Australia and New Zealand","2011",0.4
"Australia and New Zealand","2012",0.4
"Australia and New Zealand","2013",0.5
"Australia and New Zealand","2014",0.5
"Australia and New Zealand","2015",0.5
"Australia and New Zealand","2016",0.5
"Australia and New Zealand","2017",0.5
"Australia and New Zealand","2018",0.5
"Australia and New Zealand","2019",0.5
"Austria","2000",0.2
"Austria","2003",0.4
"Austria","2004",0.1
"Austria","2005",0.2
"Austria","2006",0.1
"Austria","2007",0.4
"Austria","2008",0.5
"Austria","2009",0.7
"Austria","2010",0.5
"Austria","2011",0.5
"Austria","2012",0.7
"Austria","2013",0.3
"Austria","2014",0.2
"Austria","2015",0.7
"Austria","2016",0.7
"Austria","2017",0.3
"Austria","2018",0.6
"Austria","2019",0.6
"Austria","2020",0.7
"Austria","2021",0.5
"Austria","2022",0.6
"Azerbaijan","2001",11.4
"Azerbaijan","2002",0.2
"Azerbaijan","2003",0.2
"Azerbaijan","2004",0
"Azerbaijan","2005",0
"Bangladesh","2000",41.4
"Bangladesh","2005",32.3
"Bangladesh","2010",25.1
"Bangladesh","2016",19.5
"Bangladesh","2022",8
"Barbados","2016",1.7
"Belarus","2000",26.5
"Belarus","2001",14.7
"Belarus","2002",10.4
"Belarus","2003",8.7
"Belarus","2004",4.3
"Belarus","2005",2.4
"Belarus","2006",1.1
"Belarus","2007",1.1
"Belarus","2008",0.5
"Belarus","2009",0.5
"Belarus","2010",0.2
"Belarus","2011",0.1
"Belarus","2012",0.1
"Belarus","2013",0
"Belarus","2014",0
"Belarus","2015",0
"Belarus","2016",0
"Belarus","2017",0
"Belarus","2018",0
"Belarus","2019",0
"Belarus","2020",0
"Belgium","2000",0.3
"Belgium","2003",0.4
"Belgium","2004",0.1
"Belgium","2005",0.3
"Belgium","2006",0.2
"Belgium","2007",0.2
"Belgium","2008",0.1
"Belgium","2009",0.1
"Belgium","2010",0.1
"Belgium","2011",0.2
"Belgium","2012",0.2
"Belgium","2013",0.1
"Belgium","2014",0.1
"Belgium","2015",0.1
"Belgium","2016",0.1
"Belgium","2017",0.2
"Belgium","2018",0.1
"Belgium","2019",0.1
"Belgium","2020",0.1
"Belgium","2021",0
"Belgium","2022",0
"Belize","2018",1
"Benin","2003",70.5
"Benin","2011",68.4
"Benin","2015",65.8
"Benin","2018",37.2
"Benin","2021",27.2
"Bhutan","2003",23.1
"Bhutan","2007",12
"Bhutan","2012",3.6
"Bhutan","2017",2.6
"Bhutan","2022",0
"Bolivia (Plurinational State of)","2000",28.3
"Bolivia (Plurinational State of)","2001",22.3
"Bolivia (Plurinational State of)","2002",23.9
"Bolivia (Plurinational State of)","2004",13.2
"Bolivia (Plurinational State of)","2005",18.7
"Bolivia (Plurinational State of)","2006",15.9
"Bolivia (Plurinational State of)","2007",12.1
"Bolivia (Plurinational State of)","2008",10.6
"Bolivia (Plurinational State of)","2009",10
"Bolivia (Plurinational State of)","2011",6.9
"Bolivia (Plurinational State of)","2012",7.9
"Bolivia (Plurinational State of)","2013",6.8
"Bolivia (Plurinational State of)","2014",5.6
"Bolivia (Plurinational State of)","2015",6.2
"Bolivia (Plurinational State of)","2016",7.2
"Bolivia (Plurinational State of)","2017",6.4
"Bolivia (Plurinational State of)","2018",4.7
"Bolivia (Plurinational State of)","2019",3.1
"Bolivia (Plurinational State of)","2020",4.2
"Bolivia (Plurinational State of)","2021",3.1
"Bolivia (Plurinational State of)","2022",3.3
"Bolivia (Plurinational State of)","2023",2.8
"Bosnia and Herzegovina","2001",0.6
"Bosnia and Herzegovina","2004",0.4
"Bosnia and Herzegovina","2007",0.2
"Bosnia and Herzegovina","2011",0.2
"Botswana","2002",34.8
"Botswana","2009",21.1
"Botswana","2015",21.4
"Brazil","2001",17.5
"Brazil","2002",16.2
"Brazil","2003",17.1
"Brazil","2004",15.3
"Brazil","2005",13.7
"Brazil","2006",11.4
"Brazil","2007",10.8
"Brazil","2008",9.1
"Brazil","2009",8.4
"Brazil","2011",7.1
"Brazil","2012",6.4
"Brazil","2013",5.4
"Brazil","2014",4.7
"Brazil","2015",5.4
"Brazil","2016",6.5
"Brazil","2017",6.9
"Brazil","2018",6.9
"Brazil","2019",7
"Brazil","2020",2.8
"Brazil","2021",7.5
"Brazil","2022",4.9
"Brazil","2023",3.8
"Bulgaria","2001",4.7
"Bulgaria","2003",2.2
"Bulgaria","2006",8
"Bulgaria","2007",2.5
"Bulgaria","2008",1.9
"Bulgaria","2009",1.8
"Bulgaria","2010",2.7
"Bulgaria","2011",3.4
"Bulgaria","2012",3
"Bulgaria","2013",3.3
"Bulgaria","2014",2.7
"Bulgaria","2015",4.6
"Bulgaria","2016",3.1
"Bulgaria","2017",2
"Bulgaria","2018",1.5
"Bulgaria","2019",1.6
"Bulgaria","2020",0.7
"Bulgaria","2021",1.2
"Bulgaria","2022",1.1
"Burkina Faso","2003",69.6
"Burkina Faso","2009",67.2
"Burkina Faso","2014",58.7
"Burkina Faso","2018",47.7
"Burkina Faso","2021",42.1
"Burundi","2006",81.5
"Burundi","2013",75.8
"Burundi","2020",74.2
"Cabo Verde","2001",37.1
"Cabo Verde","2007",26.2
"Cabo Verde","2015",14.6
"Cameroon","2001",30.8
"Cameroon","2007",36
"Cameroon","2014",29
"Cameroon","2021",26.7
"Canada","2000",0.2
"Canada","2001",0.2
"Canada","2002",0.2
"Canada","2003",0.2
"Canada","2004",0.2
"Canada","2005",0.2
"Canada","2006",0.2
"Canada","2007",0.2
"Canada","2008",0.2
"Canada","2009",0.2
"Canada","2010",0.2
"Canada","2011",0.2
"Canada","2012",0.2
"Canada","2013",0.5
"Canada","2014",0.2
"Canada","2015",0.5
"Canada","2016",0.5
"Canada","2017",0.5
"Canada","2018",0.2
"Canada","2019",0.2
"Canada","2020",0.2
"Caribbean","2000",33.4
"Caribbean","2001",33.1
"Caribbean","2002",34.2
"Caribbean","2003",34.7
"Caribbean","2004",36.5
"Caribbean","2013",18.3
"Caribbean","2014",17.9
"Caribbean","2015",17.6
"Caucasus and Central Asia","2000",54.9
"Caucasus and Central Asia","2001",53.6
"Caucasus and Central Asia","2002",49.6
"Caucasus and Central Asia","2003",48.1
"Caucasus and Central Asia","2004",43.2
"Caucasus and Central Asia","2005",44
"Caucasus and Central Asia","2006",39.9
"Caucasus and Central Asia","2007",38.5
"Caucasus and Central Asia","2008",36.4
"Caucasus and Central Asia","2020",4.1
"Caucasus and Central Asia","2021",3.5
"Caucasus and Central Asia","2022",3.2
"Caucasus and Central Asia","2023",2.9
"Central African Republic","2008",67.3
"Central African Republic","2021",71.6
"Central America","2000",16.6
"Central America","2001",15.4
"Central America","2002",14.1
"Central America","2003",13.9
"Central America","2004",12.9
"Central America","2005",13.2
"Central America","2006",11
"Central America","2007",10.7
"Central America","2008",10.6
"Central America","2009",10.7
"Central America","2010",9.2
"Central America","2011",8.3
"Central America","2012",8.3
"Central America","2013",7.9
"Central America","2014",7.8
"Central America","2015",6.5
"Central America","2016",5.7
"Central America","2017",5.5
"Central America","2018",5.3
"Central America","2019",5.2
"Central America","2020",5.9
"Central America","2021",4.8
"Central America","2022",4.2
"Central America","2023",4
"Central and Southern Asia","2002",43.1
"Central and Southern Asia","2003",39.9
