"country","year","inadequate_housing"
"Albania","2017",9.2
"Albania","2018",6
"Albania","2019",5.5
"Albania","2020",3.8
"Albania","2021",3.3
"Austria","2004",7.9
"Austria","2005",4.6
"Austria","2006",5
"Austria","2007",5.4
"Austria","2008",6.1
"Austria","2009",5.6
"Austria","2010",6.5
"Austria","2011",5.5
"Austria","2012",7
"Austria","2013",7.2
"Austria","2014",6.6
"Austria","2015",6.4
"Austria","2016",7.2
"Austria","2017",7.1
"Austria","2018",6.8
"Austria","2019",7
"Austria","2020",6.3
"Austria","2021",6.1
"Austria","2022",24
"Austria","2023",20
"Austria","2024",6.3
"Belarus","2022",0
"Belgium","2004",12.6
"Belgium","2005",8.6
"Belgium","2006",9.8
"Belgium","2007",10.1
"Belgium","2008",12.5
"Belgium","2009",8.7
"Belgium","2010",8.9
"Belgium","2011",10.6
"Belgium","2012",11.1
"Belgium","2013",9.6
"Belgium","2014",10.4
"Belgium","2015",9.5
"Belgium","2016",9.8
"Belgium","2017",9.5
"Belgium","2018",9
"Belgium","2019",8.4
"Belgium","2020",7.8
"Belgium","2021",7.6
"Belgium","2022",7.7
"Belgium","2023",24
"Belgium","2024",6.8
"Brunei Darussalam","2016",17.1
"Bulgaria","2006",15.4
"Bulgaria","2007",21.2
"Bulgaria","2008",13.1
"Bulgaria","2009",7
"Bulgaria","2010",5.9
"Bulgaria","2011",8.7
"Bulgaria","2012",14.5
"Bulgaria","2013",14.4
"Bulgaria","2014",12.9
"Bulgaria","2015",14.8
"Bulgaria","2016",20.7
"Bulgaria","2017",18.9
"Bulgaria","2018",17.9
"Bulgaria","2019",16
"Bulgaria","2020",14.4
"Bulgaria","2021",11.6
"Bulgaria","2022",15.1
"Bulgaria","2023",11.1
"Bulgaria","2024",8
"Canada","2018",25
"Canada","2021",20.8
"Chile","2022",13.7
"Croatia","2010",14.1
"Croatia","2011",8
"Croatia","2012",6.8
"Croatia","2013",8.4
"Croatia","2014",7.5
"Croatia","2015",7.2
"Croatia","2016",6.4
"Croatia","2017",5.8
"Croatia","2018",5.1
"Croatia","2019",4.7
"Croatia","2020",4.2
"Croatia","2021",4.5
"Croatia","2022",3.8
"Croatia","2023",4
"Croatia","2024",3.7
"Cyprus","2005",6.6
"Cyprus","2006",3
"Cyprus","2007",1.7
"Cyprus","2008",1.8
"Cyprus","2009",2.4
"Cyprus","2010",3.1
"Cyprus","2011",3.1
"Cyprus","2012",3.3
"Cyprus","2013",3.3
"Cyprus","2014",4
"Cyprus","2015",3.9
"Cyprus","2016",3.1
"Cyprus","2017",2.8
"Cyprus","2018",2
"Cyprus","2019",2.3
"Cyprus","2020",1.9
"Cyprus","2021",2.5
"Cyprus","2022",2.5
"Cyprus","2023",2.6
"Cyprus","2024",2.4
"Czechia","2005",10
"Czechia","2006",10.8
"Czechia","2007",10.3
"Czechia","2008",12.9
"Czechia","2009",8.9
"Czechia","2010",9.7
"Czechia","2011",9.5
"Czechia","2012",10
"Czechia","2013",11.7
"Czechia","2014",10.5
"Czechia","2015",10.4
"Czechia","2016",9.5
"Czechia","2017",8.7
"Czechia","2018",7.8
"Czechia","2019",6.9
"Czechia","2020",6.5
"Czechia","2021",6.2
"Czechia","2022",6.9
"Czechia","2023",9.1
"Czechia","2024",9.2
"Denmark","2005",13.6
"Denmark","2006",16.1
"Denmark","2007",13.4
"Denmark","2008",17.1
"Denmark","2009",24.3
"Denmark","2010",21.9
"Denmark","2011",18.4
"Denmark","2012",16.7
"Denmark","2013",17.9
"Denmark","2014",15.6
"Denmark","2015",15.1
"Denmark","2016",15.1
"Denmark","2017",15.7
"Denmark","2018",14.7
"Denmark","2019",15.6
"Denmark","2020",14.1
"Denmark","2021",15.5
"Denmark","2022",14.7
"Denmark","2023",15.4
"Denmark","2024",14.6
"Estonia","2005",7.9
"Estonia","2006",6.8
"Estonia","2007",5.2
"Estonia","2008",3.6
"Estonia","2009",4.4
"Estonia","2010",6
"Estonia","2011",7.4
"Estonia","2012",7.9
"Estonia","2013",7.1
"Estonia","2014",8.3
"Estonia","2015",6.8
"Estonia","2016",4.9
"Estonia","2017",4.8
"Estonia","2018",4
"Estonia","2019",4.4
"Estonia","2020",4.4
"Estonia","2021",4.5
"Estonia","2022",5
"Estonia","2023",7.6
"Estonia","2024",8.6
"Finland","2004",3.8
"Finland","2005",3.5
"Finland","2006",3.7
"Finland","2007",4.7
"Finland","2008",4.7
"Finland","2009",4.4
"Finland","2010",4.2
"Finland","2011",4.4
"Finland","2012",4.5
"Finland","2013",4.9
"Finland","2014",5.1
"Finland","2015",4.9
"Finland","2016",4.4
"Finland","2017",4.3
"Finland","2018",4.3
